sum_gamerounds,retention_1,retention_7,version
177,True,True,gate_30
11,True,False,gate_40
20,False,True,gate_40
39,True,True,gate_30
12,True,False,gate_30
12,True,False,gate_30
2,False,False,gate_40
9,True,False,gate_30
216,True,True,gate_30
30,True,False,gate_40
9,False,False,gate_30
227,False,False,gate_30
0,False,False,gate_30
87,True,False,gate_30
71,True,False,gate_30
567,True,True,gate_40
13,True,False,gate_40
55,True,True,gate_30
14,False,False,gate_40
78,True,False,gate_40
1,False,False,gate_30
3,False,False,gate_30
552,True,True,gate_30
96,True,False,gate_30
2,False,False,gate_30
12,True,True,gate_30
99,True,False,gate_40
107,True,False,gate_30
12,False,False,gate_30
2,False,False,gate_40
2,False,False,gate_40
4,False,False,gate_30
28,False,False,gate_30
9,False,False,gate_40
136,True,True,gate_30
15,False,False,gate_40
8,False,False,gate_40
1,False,False,gate_40
12,True,False,gate_30
6,False,False,gate_30
45,False,True,gate_30
12,False,False,gate_30
13,False,False,gate_40
9,True,False,gate_30
11,True,False,gate_40
113,True,True,gate_40
6,True,False,gate_30
32,False,False,gate_40
17,True,False,gate_30
141,True,False,gate_30
28,False,False,gate_30
95,True,False,gate_40
339,True,True,gate_40
24,True,False,gate_30
5,False,False,gate_30
6,False,False,gate_30
10,False,False,gate_30
9,False,False,gate_30
6,False,False,gate_40
85,True,False,gate_30
54,False,False,gate_40
19,False,False,gate_30
6,True,False,gate_40
452,True,True,gate_30
26,True,False,gate_30
12,True,False,gate_40
2,True,False,gate_40
11,True,False,gate_40
3,False,False,gate_40
6,False,False,gate_30
7,False,False,gate_40
57,False,False,gate_30
16,False,False,gate_40
15,False,False,gate_30
148,True,True,gate_40
57,True,False,gate_40
3,True,False,gate_40
163,True,True,gate_30
47,True,False,gate_40
54,False,False,gate_30
2,False,False,gate_40
220,True,True,gate_30
63,True,True,gate_40
25,True,False,gate_40
0,False,False,gate_30
1,False,False,gate_30
2,False,False,gate_30
84,True,True,gate_40
60,False,False,gate_40
